#{"t_start": 1660491269.2045865, "env_id": null}
r,l,t
274.0,100,138.847736
273.0,100,139.397489
275.0,100,139.931251
273.0,100,140.459818
273.0,100,141.007507
275.0,100,141.532917
277.0,100,142.05803
269.0,100,142.598436
273.0,100,143.146459
273.0,100,143.681702
273.0,100,144.216597
273.0,100,144.743664
272.0,100,145.294464
271.0,100,145.826143
271.0,100,146.362893
274.0,100,146.89608
276.0,100,147.458915
273.0,100,147.99856
273.0,100,148.560818
272.0,100,149.099235
271.0,100,149.657327
274.0,100,150.201548
272.0,100,150.762521
274.0,100,151.30456
270.0,100,151.849186
274.0,100,152.403196
273.0,100,152.946679
276.0,100,153.508248
266.0,100,154.068585
273.0,100,154.614818
271.0,100,155.155842
275.0,100,155.713732
276.0,100,156.281943
269.0,100,156.833991
273.0,100,157.393317
271.0,100,157.936491
273.0,100,158.511997
272.0,100,159.098726
275.0,100,159.668026
275.0,100,160.234579
280.0,100,160.82624
272.0,100,161.411747
272.0,100,161.99266
272.0,100,162.578441
275.0,100,163.168736
272.0,100,163.765483
272.0,100,164.348622
270.0,100,164.934453
272.0,100,165.524175
272.0,100,166.09718
273.0,100,166.676719
274.0,100,167.246437
275.0,100,167.839093
274.0,100,168.425141
275.0,100,169.040308
274.0,100,169.645001
272.0,100,170.240554
275.0,100,170.828881
271.0,100,171.419819
275.0,100,172.008874
270.0,100,172.625012
268.0,100,173.221702
273.0,100,173.827875
269.0,100,174.411682
270.0,100,175.005844
273.0,100,175.595181
272.0,100,176.195897
268.0,100,176.794909
274.0,100,177.409712
273.0,100,178.008442
273.0,100,178.617441
269.0,100,179.245044
271.0,100,179.870341
275.0,100,180.485018
270.0,100,181.097025
272.0,100,181.694686
272.0,100,182.306595
272.0,100,182.92589
274.0,100,183.542183
272.0,100,184.183095
270.0,100,184.817336
271.0,100,185.446555
269.0,100,186.096421
274.0,100,186.718575
276.0,100,187.354789
277.0,100,187.957823
272.0,100,188.576627
272.0,100,189.203011
273.0,100,189.852338
273.0,100,190.490112
271.0,100,191.108355
272.0,100,191.735167
270.0,100,192.384399
272.0,100,192.994066
277.0,100,193.611116
271.0,100,194.234329
268.0,100,194.851195
273.0,100,195.464461
271.0,100,196.092567
273.0,100,196.701996
272.0,100,197.341043
272.0,100,197.958442
274.0,100,198.600227
278.0,100,199.224266
274.0,100,199.86886
275.0,100,200.497977
271.0,100,201.114638
276.0,100,201.727498
271.0,100,202.351174
276.0,100,202.970065
275.0,100,203.596419
274.0,100,204.238479
278.0,100,204.873892
273.0,100,205.496137
271.0,100,206.127809
270.0,100,206.76266
275.0,100,207.405412
276.0,100,208.172238
270.0,100,209.106053
270.0,100,209.978498
273.0,100,210.622354
272.0,100,211.251122
275.0,100,211.882632
271.0,100,212.507981
272.0,100,213.138902
274.0,100,213.769872
274.0,100,214.388313
267.0,100,215.008833
269.0,100,215.653472
273.0,100,216.289166
273.0,100,216.921937
274.0,100,217.562594
270.0,100,218.20206
271.0,100,218.835765
274.0,100,219.460066
276.0,100,220.098966
273.0,100,220.736294
274.0,100,221.358759
274.0,100,221.987594
272.0,100,222.622599
273.0,100,223.262331
270.0,100,223.90124
272.0,100,224.545383
269.0,100,225.185948
273.0,100,225.82931
275.0,100,226.462645
274.0,100,227.100359
275.0,100,227.727949
275.0,100,228.373774
278.0,100,229.008117
272.0,100,229.654115
272.0,100,230.307669
274.0,100,230.975304
273.0,100,231.619879
274.0,100,232.252907
274.0,100,232.90848
272.0,100,233.564737
273.0,100,234.212756
271.0,100,234.849549
274.0,100,235.48829
269.0,100,236.148888
273.0,100,236.78443
278.0,100,237.434387
277.0,100,238.06845
275.0,100,238.714616
269.0,100,239.35841
275.0,100,240.018858
275.0,100,240.677433
269.0,100,241.326576
273.0,100,241.974796
275.0,100,242.622414
272.0,100,243.282325
277.0,100,243.943184
275.0,100,244.611613
273.0,100,245.279343
272.0,100,245.93418
273.0,100,246.616058
272.0,100,247.271352
273.0,100,247.918773
274.0,100,248.613735
272.0,100,249.293901
273.0,100,249.957228
274.0,100,250.666108
273.0,100,251.362548
277.0,100,252.058439
276.0,100,252.733635
277.0,100,253.421291
274.0,100,254.091488
275.0,100,254.791978
275.0,100,255.469411
271.0,100,256.126225
270.0,100,256.801985
273.0,100,257.511537
270.0,100,258.18218
274.0,100,258.858264
273.0,100,259.560231
268.0,100,260.253637
273.0,100,260.939923
273.0,100,261.637318
271.0,100,262.322284
273.0,100,263.019289
273.0,100,263.712514
268.0,100,264.399356
272.0,100,265.083361
273.0,100,265.779141
273.0,100,266.469014
275.0,100,267.161543
273.0,100,267.857685
274.0,100,268.555674
277.0,100,269.245415
272.0,100,269.936525
270.0,100,270.627063
