 PR,,,Average, latency,traffic,carbon,,LRU latency,traffic,carbon,,NAZ latency,traffic,carbon
0.00E+00,0.00E+00,0.00E+00,,,,,,3.60E-01,2.00E-01,1.00E+00,,7.20E-01,3.00E-01,0.00E+00
0.00E+00,0.00E+00,0.00E+00,,,,,,3.60E-01,2.00E-01,1.50E+00,,0.00E+00,3.00E-01,1.50E+00
7.20E-01,0.00E+00,0.00E+00,,,,,,0.00E+00,0.00E+00,0.00E+00,,0.00E+00,0.00E+00,0.00E+00
0.00E+00,0.00E+00,0.00E+00,,,,,,7.20E-01,0.00E+00,1.00E+00,,7.20E-01,0.00E+00,0.00E+00
0.00E+00,0.00E+00,0.00E+00,,,,,,0.00E+00,3.00E-01,1.00E+00,,0.00E+00,0.00E+00,1.50E+00
0.00E+00,0.00E+00,0.00E+00,,,,,,3.60E-01,0.00E+00,0.00E+00,,7.20E-01,0.00E+00,1.50E+00
0.00E+00,0.00E+00,0.00E+00,,,,,,3.60E-01,2.00E-01,0.00E+00,,7.20E-01,0.00E+00,0.00E+00
0.00E+00,0.00E+00,0.00E+00,,,,,,0.00E+00,3.00E-01,1.50E+00,,7.20E-01,0.00E+00,1.50E+00
7.20E-01,0.00E+00,1.50E+00,,,,,,0.00E+00,0.00E+00,5.00E-01,,0.00E+00,0.00E+00,0.00E+00
0.00E+00,0.00E+00,0.00E+00,,,,,,0.00E+00,0.00E+00,5.00E-01,,0.00E+00,0.00E+00,1.50E+00
0.00E+00,0.00E+00,1.50E+00,,,,,,0.00E+00,3.00E-01,1.00E+00,,0.00E+00,3.00E-01,1.50E+00
0.00E+00,0.00E+00,0.00E+00,,,,,,3.60E-01,0.00E+00,1.00E+00,,7.20E-01,0.00E+00,0.00E+00
7.20E-01,0.00E+00,1.00E+00,,,,,,3.60E-01,2.00E-01,0.00E+00,,0.00E+00,0.00E+00,1.50E+00
0.00E+00,0.00E+00,0.00E+00,,,,,,1.80E-01,0.00E+00,1.50E+00,,7.20E-01,0.00E+00,1.50E+00
0.00E+00,3.00E-01,1.50E+00,,,,,,1.80E-01,2.00E-01,1.00E+00,,0.00E+00,0.00E+00,0.00E+00
7.20E-01,0.00E+00,0.00E+00,,,,,,0.00E+00,1.00E-01,1.00E+00,,7.20E-01,0.00E+00,1.50E+00
7.20E-01,0.00E+00,0.00E+00,,,,,,3.60E-01,3.00E-01,0.00E+00,,0.00E+00,3.00E-01,0.00E+00
0.00E+00,0.00E+00,0.00E+00,,,,,,3.60E-01,3.00E-01,0.00E+00,,0.00E+00,0.00E+00,0.00E+00
0.00E+00,1.00E-01,1.50E+00,,,,,,7.20E-01,1.00E-01,1.50E+00,,0.00E+00,0.00E+00,0.00E+00
