global_step,episode_reward,episode_reward_mean_smooth,,t
,162,169.15,,64.017192
,160.3,161.15,,64.295799
,162,161.15,,64.569888
,189.1,175.55,,64.884032
,182.1,185.6,,65.18286
,178.2,180.15,,65.486376
,149.4,163.8,,65.763137
,184.5,166.95,,66.106508
,167.1,175.8,,66.393501
,146.3,156.7,,66.674428
,157.6,151.95,,66.953886
,161.2,159.4,,67.240704
,179.1,170.15,,67.527001
,158.6,168.85,,67.805818
,167.2,162.9,,68.085782
,164.9,166.05,,68.359848
,172.1,168.5,,68.648732
,151.5,161.8,,68.930558
,174.3,162.9,,69.233656
,140.7,157.5,,69.475828
,156.4,148.55,,69.743653
,155.7,156.05,,70.020706
,161,158.35,,70.292802
,152.2,156.6,,70.549208
,161.2,156.7,,70.824556
,153.9,157.55,,71.108033
,148.3,151.1,,71.363106
,167.7,158,,71.655052
,162.3,165,,71.924605
,163,162.65,,72.222779
,162.2,162.6,,72.510457
,180.9,171.55,,72.82034
,169.8,175.35,,73.120163
,183.4,176.6,,73.435995
,165.5,174.45,,73.720814
,172.8,169.15,,74.014882
,147.5,160.15,,74.291265
,163.5,155.5,,74.587793
,147.4,155.45,,74.840292
,167.2,157.3,,75.126682
,171.6,169.4,,75.408566
,191.1,181.35,,75.72384
,174.5,182.8,,76.018895
,182.9,178.7,,76.327315
,173.5,178.2,,76.625031
,145.4,159.45,,76.886249
,162.9,154.15,,77.176618
,175.5,169.2,,77.492597
,137,156.25,,77.748482
,157.3,147.15,,78.030739
,134.1,145.7,,78.278681
,174.6,154.35,,78.560765
,181.6,178.1,,78.862007
,148.8,165.2,,79.135047
,165.5,157.15,,79.416874
,154.7,160.1,,79.684184
,146.1,150.4,,79.945965
,139.7,142.9,,80.216962
,180.9,160.3,,80.522439
,180.7,180.8,,80.829895
,163,171.85,,81.11094
,155.6,159.3,,81.402774
,186,170.8,,81.716275
,153.5,169.75,,81.973643
,168.7,161.1,,82.256457
,157.8,163.25,,82.543038
,153.2,155.5,,82.821506
,180.2,166.7,,83.130677
,159.8,170,,83.418927
,171,165.4,,83.771535
,152.7,161.85,,84.064809
,182.8,167.75,,84.400621
,167.2,175,,84.696514
,140.4,153.8,,84.963437
,152.2,146.3,,85.236701
,156.6,154.4,,85.529946
,156.3,156.45,,85.815135
,152.4,154.35,,86.106301
,173.6,163,,86.409939
,177.2,175.4,,86.72152
,160,168.6,,86.996358
,134.8,147.4,,87.256617
,149.5,142.15,,87.531735
,154,151.75,,87.794982
,151.1,152.55,,88.073671
,174.1,162.6,,88.385578
,153.8,163.95,,88.686869
,150.5,152.15,,88.968442
,164.9,157.7,,89.262504
,155.1,160,,89.569387
,172.3,163.7,,89.858958
,170.6,171.45,,90.142051
,166.7,168.65,,90.41704
,167.2,166.95,,90.71934
,168.4,167.8,,91.009725
,149.3,158.85,,91.262633
,165.1,157.2,,91.549494
,164.7,164.9,,91.863822
,172.3,168.5,,92.168759
,154.2,163.25,,92.427913
,162.3,158.25,,92.72286
,166.2,164.25,,93.00856
,178.7,172.45,,93.30168
,175.1,176.9,,93.605907
,166.9,171,,93.884402
,163.2,165.05,,94.174865
,151.7,157.45,,94.443329
,175.3,163.5,,94.78335
,165.8,170.55,,95.075923
,160.5,163.15,,95.371939
,174.1,167.3,,95.682293
,164,169.05,,95.975484
,129.4,146.7,,96.230003
,154.9,142.15,,96.532506
,165.9,160.4,,96.837515
,141.2,153.55,,97.128407
,166.5,153.85,,97.42573
,183.6,175.05,,97.773591
,172.2,177.9,,98.085474
,153.8,163,,98.367346
,165.5,159.65,,98.672155
,157.2,161.35,,98.982556
,174,165.6,,99.280711
,155.6,164.8,,99.570745
,152.3,153.95,,99.845952
,154.6,153.45,,100.129794
,157.9,156.25,,100.401888
,157.6,157.75,,100.710616
,175.3,166.45,,101.002301
,154.6,164.95,,101.279524
,188.9,171.75,,101.598155
,175.2,182.05,,101.908258
,160.3,167.75,,102.186578
,175.8,168.05,,102.486923
,168.7,172.25,,102.802364
,167.2,167.95,,103.094875
,158.5,162.85,,103.382863
,179.2,168.85,,103.969914
,155.9,167.55,,104.494631
,167.6,161.75,,104.942521
,158.6,163.1,,105.375434
,158.6,158.6,,105.855335
,149.5,154.05,,106.254507
,176.2,162.85,,106.724375
,180.5,178.35,,107.188815
,160.8,170.65,,107.625958
,161.3,161.05,,107.949549
,160.5,160.9,,108.255558
,170.9,165.7,,108.554538
,155.6,163.25,,108.849125
,181.9,168.75,,109.175992
,149,165.45,,109.435622
,141.9,145.45,,109.708266
,169.8,155.85,,110.025814
,157.4,163.6,,110.300023
,131.1,144.25,,110.541429
,148.3,139.7,,110.818728
,182.4,165.35,,111.162841
,130.1,156.25,,111.416565
,157,143.55,,111.729937
,145.8,151.4,,112.011555
,168.5,157.15,,112.327674
,159.8,164.15,,112.624943
,148.1,153.95,,113.210773
,159.6,153.85,,113.49431
,158.8,159.2,,114.098246
,166.3,162.55,,114.400695
,151.8,159.05,,114.700422
,147,149.4,,114.992307
,157.8,152.4,,115.295451
,159.6,158.7,,115.598542
,157.2,158.4,,115.872924
,163.3,160.25,,116.742692
,177.2,170.25,,117.056937
,143.4,160.3,,117.332307
,160.3,151.85,,117.623122
,182.9,171.6,,117.937275
,159.8,171.35,,118.273178
,140.2,150,,118.541628
,178.6,159.4,,118.858634
,151.9,165.25,,119.137595
,170.3,161.1,,119.472724
,164.4,167.35,,119.785885
,154.5,159.45,,120.068503
,150.1,152.3,,120.349305
,155.6,152.85,,120.649213
,148.1,151.85,,120.918966
,169.9,159,,121.231349
,152.9,161.4,,121.531603
,155.2,154.05,,121.818011
