#{"t_start": 1660484205.0263975, "env_id": null}
r,l,t
120.02,100,135.259173
136.8,100,135.666964
128.54,100,136.078231
124.38,100,136.499369
130.56,100,136.88202
130.82,100,137.287764
132.76,100,137.67012
125.04,100,138.074567
125.22,100,138.476602
121.16,100,138.890106
106.34,100,139.291749
135.9,100,139.673821
122.72,100,140.077375
118.58,100,140.489563
125.36,100,140.860579
127.86,100,141.265172
120.08,100,141.643428
116.16,100,142.048416
106.94,100,142.432585
123.38,100,142.81153
131.42,100,143.182676
111.34,100,143.55783
115.8,100,143.926582
123.4,100,144.338626
138.94,100,144.705878
120.76,100,145.108634
137.24,100,145.48384
122.54,100,145.846673
128.14,100,146.21495
109.08,100,146.597663
140.12,100,146.965209
113.78,100,147.336732
132.36,100,147.698544
129.1,100,148.120289
116.38,100,148.522569
117.38,100,148.907513
110.08,100,149.311629
120.94,100,149.73527
120.94,100,150.140154
133.0,100,150.541261
123.62,100,150.970934
121.02,100,151.408211
128.24,100,151.817897
127.86,100,152.251441
127.62,100,152.6669
118.24,100,153.123786
125.5,100,153.531508
124.46,100,153.925598
122.12,100,154.334828
134.98,100,154.757468
137.0,100,155.173659
126.12,100,155.586851
123.3,100,156.122259
103.56,100,156.749126
108.24,100,157.351594
121.2,100,157.962898
105.66,100,158.366995
127.4,100,158.773971
117.22,100,159.189194
113.88,100,159.599092
128.3,100,159.990093
121.1,100,160.415473
111.68,100,160.824662
137.38,100,161.256194
120.54,100,161.667314
128.98,100,162.084563
118.52,100,162.500618
117.16,100,162.913291
112.94,100,163.332476
112.06,100,163.746951
142.78,100,164.142223
119.82,100,164.531514
108.7,100,164.932177
116.9,100,165.439144
125.06,100,166.257167
105.28,100,166.641197
118.32,100,167.038641
110.26,100,167.42398
117.5,100,167.78568
109.7,100,168.156328
122.16,100,168.519317
130.1,100,168.900513
124.04,100,169.264381
130.32,100,169.634914
126.16,100,170.025158
130.02,100,170.39132
117.4,100,170.744107
134.9,100,171.130762
123.46,100,171.504162
136.04,100,171.887952
130.28,100,172.262624
128.28,100,172.615221
124.58,100,172.999331
127.8,100,173.407591
112.18,100,173.766405
122.48,100,174.160345
121.1,100,174.526164
132.44,100,174.919836
118.38,100,175.293618
133.98,100,175.655402
114.86,100,176.032194
131.4,100,176.414755
128.44,100,176.773949
117.12,100,177.170317
135.24,100,177.536811
127.14,100,177.91321
94.72,100,178.312128
126.02,100,178.698049
124.3,100,179.10161
133.84,100,179.479334
121.16,100,179.853001
118.08,100,180.266309
136.04,100,180.652828
121.12,100,181.084527
122.78,100,181.488061
124.8,100,181.864509
139.74,100,182.316261
133.84,100,182.721243
141.02,100,183.134483
129.62,100,183.517516
111.34,100,183.879545
126.8,100,184.325463
118.76,100,184.74867
129.82,100,185.208295
133.32,100,185.610083
134.52,100,186.021221
121.56,100,186.441007
139.88,100,186.829307
131.74,100,187.23022
138.9,100,187.615741
132.24,100,188.007132
121.46,100,188.414306
131.52,100,188.80564
130.84,100,189.250443
116.94,100,189.653467
114.64,100,190.071836
121.9,100,190.494822
123.44,100,190.911373
111.84,100,191.359095
137.22,100,191.768419
122.78,100,192.195775
132.9,100,192.61918
131.26,100,193.027958
113.94,100,193.460775
127.34,100,193.856738
110.96,100,194.23775
138.82,100,194.618475
124.32,100,195.019572
123.48,100,195.422987
132.58,100,195.836822
122.76,100,196.224099
126.92,100,196.611215
128.68,100,197.044239
128.14,100,197.465628
115.96,100,197.87371
